characters_araber;Araber
characters_arzt;Arzt
characters_butler;Butler
characters_junge;Junge
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_schaffner;Schaffner
texts_a12_bahnhof_armeemesser_mo_inventar_1;Couteau
spokentexts_a12_bahnhof_armeemesser_ex_1_st_1;Un couteau suisse. Un très bon ami me l'a donné.
texts_a12_bahnhof_arzttasche_mo_ex_1__2;Examiner le bagage du docteur
texts_a12_bahnhof_arzttasche_mo_take_1;Prendre le bagage du docteur
texts_a12_bahnhof_arzttasche_mo_use_mit_holzkiste_1;Mettre le bagage du docteur dans la caisse en bois
texts_a12_bahnhof_arzttasche_mo_use_mit_holzkiste_2;Cacher le bagage du docteur sous la caisse en bois
spokentexts_a12_bahnhof_arzttasche_ex_1_st_1;Un bagage en cuir comme ceux utilisés par les médecins de campagne.
spokentexts_a12_bahnhof_arzttasche_ex_1_st_2;Pour le transport de leur instruments.
spokentexts_a12_bahnhof_arzttasche_ex_2_st_1;Hmm. Si je subtilise le bagage, ça pourrait être une source de confusion et pendant que les gens seront à sa recherche, je pourrais me faufiler dans le train.
spokentexts_a12_bahnhof_arzttasche_ex_2_st_2;Le seul problème est que je ne peux pas prendre le bagage avec moi.
spokentexts_a12_bahnhof_arzttasche_take_1_st_1;Aucune chance.
spokentexts_a12_bahnhof_arzttasche_take_1_st_2;Le docteur peut facilement me voir prendre son bagage.
spokentexts_a12_bahnhof_arzttasche_take_1_st_3;Il donnerait l'alarme et notre ami suisse n'aurait pas d'autre choix que de m'arrêter.
spokentexts_a12_bahnhof_arzttasche_take_1_st_4;Et là nous aurions un vrai problème.
spokentexts_a12_bahnhof_arzttasche_used_mit_holzkiste_1_st_1;Cette caisse en bois est assez grande pour cacher complètement le bagage.
spokentexts_a12_bahnhof_arzttasche_used_mit_holzkiste_1_st_2;Il serait protégé des regards indiscrets et je pourrais quitter de la scène du crime inaperçu.
spokentexts_a12_bahnhof_arzttasche_used_mit_holzkiste_1_st_3;Il y a encore un problème : quelqu'un pourrait me voir ramasser le bagage et le mettre dans la caisse.
spokentexts_a12_bahnhof_arzttasche_used_mit_holzkiste_2_st_1;C'est maintenant ou jamais !
sequences_a12_bahnhof_arzttasche_used_mit_holzkiste_2#2;[The Arab takes the wooden box, carries it over to the baggage car. He put it over the bag of the Doctor.]
sequences_a12_bahnhof_arzttasche_used_mit_holzkiste_2#3;[The doctor looks around for a moment, then speaks. The conductor turns to the Arab.]
spokentexts_a12_bahnhof_arzttasche_used_mit_holzkiste_2_st_2;Hé, vous ! Décampez !
spokentexts_a12_bahnhof_arzttasche_used_mit_holzkiste_2_st_6_direction;frightened, submissive
spokentexts_a12_bahnhof_arzttasche_used_mit_holzkiste_2_st_6;Oui monsieur !
sequences_a12_bahnhof_arzttasche_used_mit_holzkiste_2#9;[The Arab takes the box from the baggage wagon. He has his hands under the box so that he can hold the bag. The guard turns, shaking his head.]
sequences_a12_bahnhof_arzttasche_used_mit_holzkiste_2#10;[The Arab disappears behind the magazin Shop, then comes back moments later with no box.]
spokentexts_a12_bahnhof_arzttasche_used_mit_holzkiste_2_st_7_direction;satisfied
spokentexts_a12_bahnhof_arzttasche_used_mit_holzkiste_2_st_7;Que la fête commence !
texts_a12_bahnhof_holzkiste_mo_ex_1;Examiner la caisse
texts_a12_bahnhof_holzkiste_mo_use_1;Utiliser la caisee avec...
texts_a12_bahnhof_holzkiste_mo_use_2;Utiliser la caisse sans fond avec...
texts_a12_bahnhof_holzkiste_mo_used_mit_armeemesser;Retirer le fond de la caisse
spokentexts_a12_bahnhof_holzkiste_ex_1_st_1;La caisse doit avoir transporté des bananes ou quelque chose dans le genre. Elle est vide maintenant.
