characters_araber;Araber
characters_arzt;Arzt
characters_ohi;Ohi
texts_a07_krankenstation_alptraum_armgurte_mo_use_1;Détacher les sangles
texts_a07_krankenstation_alptraum_armgurte_mo_used_mit_schere_1__2;Couper les sangles
spokentexts_a07_krankenstation_alptraum_armgurte_ex_1_st_1_direction;thinks, struck, powerless
spokentexts_a07_krankenstation_alptraum_armgurte_ex_1_st_1;Je peux... pas bouger.
sequences_a07_krankenstation_alptraum_armgurte_use_1#1;[Ohi pulls and tugs at his bonds, with no success.]
sequences_a07_krankenstation_alptraum_armgurte_used_mit_schere_1#1;[Ohi begins to cut with the scissor the straps]
spokentexts_a07_krankenstation_alptraum_armgurte_used_mit_schere_1_st_1;Qu'est-ce que vous faites ?
sequences_a07_krankenstation_alptraum_armgurte_used_mit_schere_1#3;[The doctor turns to the syringe into his hand, hesitates.]
spokentexts_a07_krankenstation_alptraum_armgurte_used_mit_schere_1_st_3;Détendez-vous.
sequences_a07_krankenstation_alptraum_armgurte_used_mit_schere_1#6;[The doctor comes up to Ohi, pushes him the syringe into his neck.]
sequences_a07_krankenstation_alptraum_armgurte_used_mit_schere_1#4;[You can hear a fast Heartbeat who stops slowly. Everything is black.]
sequences_a07_krankenstation_alptraum_armgurte_used_mit_schere_2#1;[Ohi begins to cut with the scissor the straps. Sometime the first one is cut, the second strap he solves with his free hand.]
sequences_a07_krankenstation_alptraum_armgurte_used_mit_schere_2#2;[He sits back, he keeps the scissor in his hand.]
texts_a07_krankenstation_alptraum_chloroform_mo_ex_1;Examiner la bouteille brune
texts_a07_krankenstation_alptraum_chloroform_mo_take_1a__1b__2;Prendre le chloroforme
spokentexts_a07_krankenstation_alptraum_chloroform_ex_1_st_1_direction;thinks struck, powerless
spokentexts_a07_krankenstation_alptraum_chloroform_ex_1_st_1;Chloroforme.
spokentexts_a07_krankenstation_alptraum_chloroform_ex_1_st_2_direction;thinks struck, powerless
spokentexts_a07_krankenstation_alptraum_chloroform_ex_1_st_2;Toujours partiellement engourdi.
spokentexts_a07_krankenstation_alptraum_chloroform_take_1a_st_1_direction;thinks struck, powerless
spokentexts_a07_krankenstation_alptraum_chloroform_take_1a_st_1;Je ne peux pas l'atteindre.
spokentexts_a07_krankenstation_alptraum_chloroform_take_1b_st_1_direction;thinks struck, powerless
spokentexts_a07_krankenstation_alptraum_chloroform_take_1b_st_1;Mes bras ... sont attachés.
sequences_a07_krankenstation_alptraum_chloroform_take_2#1;"[In the same sequence as the doctor ""use 1"" (Ohi crashes).]"
texts_a07_krankenstation_alptraum_fussstuetzen_mo_use_1;Rabattre les repose-pieds
spokentexts_a07_krankenstation_alptraum_fussstuetzen_ex_1_st_1_direction;thinks struck, powerless
spokentexts_a07_krankenstation_alptraum_fussstuetzen_ex_1_st_1;Repose-pieds... repliable.
sequences_a07_krankenstation_alptraum_fussstuetzen_use_1#1;[Ohi manages to fold up the footrests with his feets. He does not have full control over his feets, he succeeds only with the greatest effort and luck.]
texts_a07_krankenstation_alptraum_schale_mo_ex_1__2;Regarder dans la cuvette
texts_a07_krankenstation_alptraum_schale_mo_take_1__2;Prendre les ciseaux
sequences_a07_krankenstation_alptraum_schale_ex_1#1;[Ohi is trying to move from that place, moves with the upper body fourth and back. But therefore also the chair moves  back and forth and ultimately remains standing in the same place.]
sequences_a07_krankenstation_alptraum_schale_ex_2#1;"[Ohi ""pulls himself with his feets forward"" and reaches the rolling table. He looks into the bowl.]"
spokentexts_a07_krankenstation_alptraum_schale_ex_2_st_1_direction;thinks struck, powerless
spokentexts_a07_krankenstation_alptraum_schale_ex_2_st_1;Une paire de ciseaux !
sequences_a07_krankenstation_alptraum_schale_take_1#1;[Ohi scans despite his bound arm for the scissors and manages to touch them with his fingertips. He pulls it to him, and finally has it in his hand.]
spokentexts_a07_krankenstation_alptraum_schale_take_1_st_1;C'est prêt.
sequences_a07_krankenstation_alptraum_schale_take_1#3;[The doctor turns to the syringe into his hand, hesitates.]
