characters_araber;Araber
characters_baronin;Baronin
characters_butler;Butler
texts_a14_butler_top_a14_butler_aussteigen_tseq_title;Laisser tomber
spokentexts_a14_butler_top_a14_butler_aussteigen_tseq_st_1;Qu'arriverait-il si je partais ?
spokentexts_a14_butler_top_a14_butler_aussteigen_tseq_st_2_direction;challenging
spokentexts_a14_butler_top_a14_butler_aussteigen_tseq_st_2;Vous saviez à qui vous aviez affaire tout ce temps.
spokentexts_a14_butler_top_a14_butler_aussteigen_tseq_st_3;Je n'ai pas de temps pour votre hypocrisie.
spokentexts_a14_butler_top_a14_butler_aussteigen_tseq_st_4;Vous avez toujours su qui à qui vous aviez affaire.
spokentexts_a14_butler_top_a14_butler_aussteigen_tseq_st_5;Si, pour votre tranquillité d'esprit, il vous faut faire semblant d'être innocent dans cette situation, ainsi soit-il.
spokentexts_a14_butler_top_a14_butler_aussteigen_tseq_st_6;Mais nous savons tous les deux que VOUS m'avez supplié de VOUS laisser sur le casse.
spokentexts_a14_butler_top_a14_butler_aussteigen_tseq_st_7;Et dans ce métier, il faut savoir se salir les mains !
texts_a14_butler_top_a14_butler_bombe_tseq_title;Bombe
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_1;Quel était le but de cette bombe ?
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_2_direction;uncomprehendingly
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_2;N'est-ce pas évident ?
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_3;Je voulais éliminer Legrand. De manière aussi spectaculaire que possible !
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_4;Vous avez presque failli m'éliminer aussi !
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_5;Ne vous ai-je pas dit de déposer la lettre et de partir immédiatement ?
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_6_direction;outraged, insistently
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_6;Des gens auraient pu MOURIR !
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_7_direction;impatient
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_7;Mais tout à fait !
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_8_direction;annoying
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_8;C'était le BUT de cette bombe !
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_9;Je ne veux blesser personne. Vous le savez !
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_10;Et vous savez que je me fiche de ce que vous voulez.
spokentexts_a14_butler_top_a14_butler_bombe_tseq_st_11;Obéissez à mes ordres et rien ne pourra vous arriver. Vous serez bientôt un homme riche.
texts_a14_butler_top_a14_butler_der_plan_tseq_title;Le plan
spokentexts_a14_butler_top_a14_butler_der_plan_tseq_st_1;Je n'obéirai plus aveuglément aux ordres, plus maintenant. Je veux savoir quel est le plan !
spokentexts_a14_butler_top_a14_butler_der_plan_tseq_st_2;Vous savez ce que vous devez savoir.
spokentexts_a14_butler_top_a14_butler_der_plan_tseq_st_3;Nous allons voler le deuxième Oeil au Caire - sous les yeux du monde entier !
spokentexts_a14_butler_top_a14_butler_der_plan_tseq_st_4;Le vol du premier Oeil a attiré l'attention de tout le monde. La mort de Legrand aurait augmenté l'effervescence considérablement...
spokentexts_a14_butler_top_a14_butler_der_plan_tseq_st_5;"Mais c'est tout aussi bien. Nous aurons un affrontement à la place. ""Le Corbeau contre L'inspecteur"" - voilà qui devrait aussi électriser la presse."
spokentexts_a14_butler_top_a14_butler_der_plan_tseq_st_6;Pourquoi faites-vous cela ? Je pensais que c'était pour les bijoux ! Pourquoi nous rendons-nous la tache aussi difficile, en attirant autant l'attention ?
spokentexts_a14_butler_top_a14_butler_der_plan_tseq_st_7;Il s'agit de bien plus que ça. Il s'agit de faire une performance sur la plus grande scène de tout les temps ! La fin d'une légende !
spokentexts_a14_butler_top_a14_butler_der_plan_tseq_st_8;Vous comprendrez quand le moment sera venu. Jusque-là, faites ce que je dis.
texts_a14_butler_top_a14_butler_mir_geht_es_gut_tseq_title;Je vais bien
spokentexts_a14_butler_top_a14_butler_mir_geht_es_gut_tseq_st_1;Ça va. Merci de demander !
spokentexts_a14_butler_top_a14_butler_mir_geht_es_gut_tseq_st_2_direction;angry
spokentexts_a14_butler_top_a14_butler_mir_geht_es_gut_tseq_st_2;Je n'ai pas demandé comment vous alliez. J'ai demandé pourquoi vous m'avez parlé en public !
texts_a14_butler_top_a14_butler_verabschieben_tseq_title;Terminer la conversation
spokentexts_a14_butler_top_a14_butler_verabschieben_tseq_st_1_direction;Protesting, is interrupted
spokentexts_a14_butler_top_a14_butler_verabschieben_tseq_st_1;Mais...
spokentexts_a14_butler_top_a14_butler_verabschieben_tseq_st_2_direction;far away
spokentexts_a14_butler_top_a14_butler_verabschieben_tseq_st_2;James ? James ! Où diable êtes-vous ?
